date,origin,destination,vessel_class,freight_rate
2025-02-27,Australia,Dhamra,Panamax,19.54
2025-02-28,Australia,Dhamra,Panamax,20.02
2025-03-01,Australia,Dhamra,Panamax,20.21
2025-03-02,Australia,Dhamra,Panamax,19.01
2025-03-03,Australia,Dhamra,Panamax,18.98
2025-03-04,Australia,Dhamra,Panamax,18.52
2025-03-05,Australia,Dhamra,Panamax,18.8
2025-03-06,Australia,Dhamra,Panamax,20.33
2025-03-07,Australia,Dhamra,Panamax,20.75
2025-03-08,Australia,Dhamra,Panamax,19.69
2025-03-09,Australia,Dhamra,Panamax,20.0
2025-03-10,Australia,Dhamra,Panamax,19.41
2025-03-11,Australia,Dhamra,Panamax,18.9
2025-03-12,Australia,Dhamra,Panamax,19.83
2025-03-13,Australia,Dhamra,Panamax,20.86
2025-03-14,Australia,Dhamra,Panamax,20.0
2025-03-15,Australia,Dhamra,Panamax,20.76
2025-03-16,Australia,Dhamra,Panamax,17.91
2025-03-17,Australia,Dhamra,Panamax,19.77
2025-03-18,Australia,Dhamra,Panamax,19.42
2025-03-19,Australia,Dhamra,Panamax,19.51
2025-03-20,Australia,Dhamra,Panamax,20.06
2025-03-21,Australia,Dhamra,Panamax,18.9
2025-03-22,Australia,Dhamra,Panamax,19.75
2025-03-23,Australia,Dhamra,Panamax,19.76
2025-03-24,Australia,Dhamra,Panamax,20.22
2025-03-25,Australia,Dhamra,Panamax,19.11
2025-03-26,Australia,Dhamra,Panamax,19.26
2025-03-27,Australia,Dhamra,Panamax,19.76
2025-03-28,Australia,Dhamra,Panamax,20.69
2025-03-29,Australia,Dhamra,Panamax,20.13
2025-03-30,Australia,Dhamra,Panamax,19.27
2025-03-31,Australia,Dhamra,Panamax,19.68
2025-04-01,Australia,Dhamra,Panamax,19.52
2025-04-02,Australia,Dhamra,Panamax,20.35
2025-04-03,Australia,Dhamra,Panamax,19.67
2025-04-04,Australia,Dhamra,Panamax,19.97
2025-04-05,Australia,Dhamra,Panamax,19.72
2025-04-06,Australia,Dhamra,Panamax,18.73
2025-04-07,Australia,Dhamra,Panamax,19.57
2025-04-08,Australia,Dhamra,Panamax,19.63
2025-04-09,Australia,Dhamra,Panamax,19.79
2025-04-10,Australia,Dhamra,Panamax,19.96
2025-04-11,Australia,Dhamra,Panamax,19.32
2025-04-12,Australia,Dhamra,Panamax,19.7
2025-04-13,Australia,Dhamra,Panamax,19.4
2025-04-14,Australia,Dhamra,Panamax,18.91
2025-04-15,Australia,Dhamra,Panamax,19.37
2025-04-16,Australia,Dhamra,Panamax,20.02
2025-04-17,Australia,Dhamra,Panamax,21.21
2025-04-18,Australia,Dhamra,Panamax,20.26
2025-04-19,Australia,Dhamra,Panamax,20.09
2025-04-20,Australia,Dhamra,Panamax,19.54
2025-04-21,Australia,Dhamra,Panamax,18.21
2025-04-22,Australia,Dhamra,Panamax,19.42
2025-04-23,Australia,Dhamra,Panamax,19.78
2025-04-24,Australia,Dhamra,Panamax,21.53
2025-04-25,Australia,Dhamra,Panamax,20.0
2025-04-26,Australia,Dhamra,Panamax,20.08
2025-04-27,Australia,Dhamra,Panamax,19.52
2025-04-28,Australia,Dhamra,Panamax,18.61
2025-04-29,Australia,Dhamra,Panamax,20.07
2025-04-30,Australia,Dhamra,Panamax,20.14
2025-05-01,Australia,Dhamra,Panamax,20.47
2025-05-02,Australia,Dhamra,Panamax,19.51
2025-05-03,Australia,Dhamra,Panamax,20.68
2025-05-04,Australia,Dhamra,Panamax,18.64
2025-05-05,Australia,Dhamra,Panamax,19.6
2025-05-06,Australia,Dhamra,Panamax,20.63
2025-05-07,Australia,Dhamra,Panamax,19.02
2025-05-08,Australia,Dhamra,Panamax,19.58
2025-05-09,Australia,Dhamra,Panamax,20.04
2025-05-10,Australia,Dhamra,Panamax,19.45
2025-05-11,Australia,Dhamra,Panamax,18.46
2025-05-12,Australia,Dhamra,Panamax,19.21
2025-05-13,Australia,Dhamra,Panamax,18.59
2025-05-14,Australia,Dhamra,Panamax,19.81
2025-05-15,Australia,Dhamra,Panamax,19.27
2025-05-16,Australia,Dhamra,Panamax,20.82
2025-05-17,Australia,Dhamra,Panamax,19.19
2025-05-18,Australia,Dhamra,Panamax,19.1
2025-05-19,Australia,Dhamra,Panamax,19.55
2025-05-20,Australia,Dhamra,Panamax,18.39
2025-05-21,Australia,Dhamra,Panamax,19.56
2025-05-22,Australia,Dhamra,Panamax,20.5
2025-05-23,Australia,Dhamra,Panamax,18.81
2025-05-24,Australia,Dhamra,Panamax,19.66
2025-05-25,Australia,Dhamra,Panamax,19.34
2025-05-26,Australia,Dhamra,Panamax,19.42
2025-05-27,Australia,Dhamra,Panamax,18.26
2025-05-28,Australia,Dhamra,Panamax,18.51
2025-05-29,Australia,Dhamra,Panamax,19.91
2025-05-30,Australia,Dhamra,Panamax,19.83
2025-05-31,Australia,Dhamra,Panamax,19.57
2025-06-01,Australia,Dhamra,Panamax,19.26
2025-06-02,Australia,Dhamra,Panamax,18.41
2025-06-03,Australia,Dhamra,Panamax,19.02
2025-06-04,Australia,Dhamra,Panamax,19.34
2025-06-05,Australia,Dhamra,Panamax,19.03
2025-06-06,Australia,Dhamra,Panamax,20.64
2025-06-07,Australia,Dhamra,Panamax,19.57
2025-06-08,Australia,Dhamra,Panamax,18.2
2025-06-09,Australia,Dhamra,Panamax,19.07
2025-06-10,Australia,Dhamra,Panamax,18.15
2025-06-11,Australia,Dhamra,Panamax,19.5
2025-06-12,Australia,Dhamra,Panamax,20.01
2025-06-13,Australia,Dhamra,Panamax,18.88
2025-06-14,Australia,Dhamra,Panamax,19.71
2025-06-15,Australia,Dhamra,Panamax,19.01
2025-06-16,Australia,Dhamra,Panamax,19.02
2025-06-17,Australia,Dhamra,Panamax,19.72
2025-06-18,Australia,Dhamra,Panamax,18.73
2025-06-19,Australia,Dhamra,Panamax,18.71
2025-06-20,Australia,Dhamra,Panamax,18.69
2025-06-21,Australia,Dhamra,Panamax,18.49
2025-06-22,Australia,Dhamra,Panamax,18.57
2025-06-23,Australia,Dhamra,Panamax,18.58
2025-06-24,Australia,Dhamra,Panamax,18.59
2025-06-25,Australia,Dhamra,Panamax,19.21
2025-06-26,Australia,Dhamra,Panamax,19.02
2025-06-27,Australia,Dhamra,Panamax,19.93
2025-06-28,Australia,Dhamra,Panamax,18.66
2025-06-29,Australia,Dhamra,Panamax,20.09
2025-06-30,Australia,Dhamra,Panamax,18.59
2025-07-01,Australia,Dhamra,Panamax,17.75
2025-07-02,Australia,Dhamra,Panamax,17.92
2025-07-03,Australia,Dhamra,Panamax,19.14
2025-07-04,Australia,Dhamra,Panamax,18.77
2025-07-05,Australia,Dhamra,Panamax,19.09
2025-07-06,Australia,Dhamra,Panamax,18.58
2025-07-07,Australia,Dhamra,Panamax,18.01
2025-07-08,Australia,Dhamra,Panamax,17.6
2025-07-09,Australia,Dhamra,Panamax,17.49
2025-07-10,Australia,Dhamra,Panamax,18.42
2025-07-11,Australia,Dhamra,Panamax,19.26
2025-07-12,Australia,Dhamra,Panamax,18.63
2025-07-13,Australia,Dhamra,Panamax,17.39
2025-07-14,Australia,Dhamra,Panamax,18.0
2025-07-15,Australia,Dhamra,Panamax,18.18
2025-07-16,Australia,Dhamra,Panamax,17.71
2025-07-17,Australia,Dhamra,Panamax,18.63
2025-07-18,Australia,Dhamra,Panamax,18.62
2025-07-19,Australia,Dhamra,Panamax,17.66
2025-07-20,Australia,Dhamra,Panamax,18.2
2025-07-21,Australia,Dhamra,Panamax,18.08
2025-07-22,Australia,Dhamra,Panamax,18.45
2025-07-23,Australia,Dhamra,Panamax,18.72
2025-07-24,Australia,Dhamra,Panamax,17.56
2025-07-25,Australia,Dhamra,Panamax,17.88
2025-07-26,Australia,Dhamra,Panamax,18.51
2025-07-27,Australia,Dhamra,Panamax,18.14
2025-07-28,Australia,Dhamra,Panamax,17.91
2025-07-29,Australia,Dhamra,Panamax,19.97
2025-07-30,Australia,Dhamra,Panamax,18.29
2025-07-31,Australia,Dhamra,Panamax,18.92
2025-08-01,Australia,Dhamra,Panamax,18.87
2025-08-02,Australia,Dhamra,Panamax,18.45
2025-08-03,Australia,Dhamra,Panamax,17.51
2025-08-04,Australia,Dhamra,Panamax,17.91
2025-08-05,Australia,Dhamra,Panamax,17.05
2025-08-06,Australia,Dhamra,Panamax,17.67
2025-08-07,Australia,Dhamra,Panamax,17.81
2025-08-08,Australia,Dhamra,Panamax,18.21
2025-08-09,Australia,Dhamra,Panamax,19.32
2025-08-10,Australia,Dhamra,Panamax,16.45
2025-08-11,Australia,Dhamra,Panamax,17.74
2025-08-12,Australia,Dhamra,Panamax,16.43
2025-08-13,Australia,Dhamra,Panamax,17.41
2025-08-14,Australia,Dhamra,Panamax,18.64
2025-08-15,Australia,Dhamra,Panamax,18.09
2025-08-16,Australia,Dhamra,Panamax,17.17
2025-08-17,Australia,Dhamra,Panamax,17.02
2025-08-18,Australia,Dhamra,Panamax,17.63
2025-08-19,Australia,Dhamra,Panamax,16.84
2025-08-20,Australia,Dhamra,Panamax,17.71
2025-08-21,Australia,Dhamra,Panamax,17.91
2025-08-22,Australia,Dhamra,Panamax,17.55
2025-08-23,Australia,Dhamra,Panamax,19.0
2025-08-24,Australia,Dhamra,Panamax,17.73
2025-08-25,Australia,Dhamra,Panamax,15.91
2025-08-26,Australia,Dhamra,Panamax,17.3
2025-08-27,Australia,Dhamra,Panamax,17.09
2025-08-28,Australia,Dhamra,Panamax,18.3
2025-08-29,Australia,Dhamra,Panamax,17.38
2025-08-30,Australia,Dhamra,Panamax,17.56
2025-08-31,Australia,Dhamra,Panamax,17.57
2025-09-01,Australia,Dhamra,Panamax,17.56
2025-09-02,Australia,Dhamra,Panamax,16.39
2025-09-03,Australia,Dhamra,Panamax,17.21
2025-09-04,Australia,Dhamra,Panamax,17.43
2025-09-05,Australia,Dhamra,Panamax,17.4
2025-09-06,Australia,Dhamra,Panamax,18.62
2025-09-07,Australia,Dhamra,Panamax,17.45
2025-09-08,Australia,Dhamra,Panamax,16.23
2025-09-09,Australia,Dhamra,Panamax,17.6
2025-09-10,Australia,Dhamra,Panamax,18.63
2025-09-11,Australia,Dhamra,Panamax,18.29
2025-09-12,Australia,Dhamra,Panamax,16.83
2025-09-13,Australia,Dhamra,Panamax,17.23
2025-09-14,Australia,Dhamra,Panamax,17.92
2025-09-15,Australia,Dhamra,Panamax,16.52
2025-09-16,Australia,Dhamra,Panamax,17.28
2025-09-17,Australia,Dhamra,Panamax,17.79
2025-09-18,Australia,Dhamra,Panamax,17.08
2025-09-19,Australia,Dhamra,Panamax,17.67
2025-09-20,Australia,Dhamra,Panamax,15.55
2025-09-21,Australia,Dhamra,Panamax,16.53
2025-09-22,Australia,Dhamra,Panamax,16.77
2025-09-23,Australia,Dhamra,Panamax,16.25
2025-09-24,Australia,Dhamra,Panamax,18.29
2025-09-25,Australia,Dhamra,Panamax,16.77
2025-09-26,Australia,Dhamra,Panamax,17.44
2025-09-27,Australia,Dhamra,Panamax,17.56
2025-09-28,Australia,Dhamra,Panamax,18.0
2025-09-29,Australia,Dhamra,Panamax,16.06
2025-09-30,Australia,Dhamra,Panamax,17.7
2025-10-01,Australia,Dhamra,Panamax,17.33
2025-10-02,Australia,Dhamra,Panamax,17.05
2025-10-03,Australia,Dhamra,Panamax,17.99
2025-10-04,Australia,Dhamra,Panamax,17.62
2025-10-05,Australia,Dhamra,Panamax,16.8
2025-10-06,Australia,Dhamra,Panamax,16.99
2025-10-07,Australia,Dhamra,Panamax,16.8
2025-10-08,Australia,Dhamra,Panamax,17.42
2025-10-09,Australia,Dhamra,Panamax,18.06
2025-10-10,Australia,Dhamra,Panamax,18.7
2025-10-11,Australia,Dhamra,Panamax,16.8
2025-10-12,Australia,Dhamra,Panamax,18.48
2025-10-13,Australia,Dhamra,Panamax,15.82
2025-10-14,Australia,Dhamra,Panamax,16.99
2025-10-15,Australia,Dhamra,Panamax,17.75
2025-10-16,Australia,Dhamra,Panamax,17.89
2025-10-17,Australia,Dhamra,Panamax,17.43
2025-10-18,Australia,Dhamra,Panamax,17.48
2025-10-19,Australia,Dhamra,Panamax,16.97
2025-10-20,Australia,Dhamra,Panamax,16.71
2025-10-21,Australia,Dhamra,Panamax,17.66
2025-10-22,Australia,Dhamra,Panamax,17.69
2025-10-23,Australia,Dhamra,Panamax,17.38
2025-10-24,Australia,Dhamra,Panamax,18.43
2025-10-25,Australia,Dhamra,Panamax,17.87
2025-10-26,Australia,Dhamra,Panamax,17.84
2025-10-27,Australia,Dhamra,Panamax,17.52
2025-10-28,Australia,Dhamra,Panamax,16.74
2025-10-29,Australia,Dhamra,Panamax,17.23
2025-10-30,Australia,Dhamra,Panamax,18.34
2025-10-31,Australia,Dhamra,Panamax,18.35
2025-11-01,Australia,Dhamra,Panamax,17.77
2025-11-02,Australia,Dhamra,Panamax,17.52
2025-11-03,Australia,Dhamra,Panamax,18.02
2025-11-04,Australia,Dhamra,Panamax,16.99
2025-11-05,Australia,Dhamra,Panamax,18.01
2025-11-06,Australia,Dhamra,Panamax,17.89
2025-11-07,Australia,Dhamra,Panamax,17.97
2025-11-08,Australia,Dhamra,Panamax,18.56
2025-11-09,Australia,Dhamra,Panamax,18.07
2025-11-10,Australia,Dhamra,Panamax,17.87
2025-11-11,Australia,Dhamra,Panamax,18.26
2025-11-12,Australia,Dhamra,Panamax,17.82
2025-11-13,Australia,Dhamra,Panamax,18.55
2025-11-14,Australia,Dhamra,Panamax,18.05
2025-11-15,Australia,Dhamra,Panamax,18.24
2025-11-16,Australia,Dhamra,Panamax,17.64
2025-11-17,Australia,Dhamra,Panamax,17.58
2025-11-18,Australia,Dhamra,Panamax,17.98
2025-11-19,Australia,Dhamra,Panamax,17.46
2025-11-20,Australia,Dhamra,Panamax,19.54
2025-11-21,Australia,Dhamra,Panamax,17.79
2025-11-22,Australia,Dhamra,Panamax,17.47
2025-11-23,Australia,Dhamra,Panamax,18.57
2025-11-24,Australia,Dhamra,Panamax,18.15
2025-11-25,Australia,Dhamra,Panamax,18.15
2025-11-26,Australia,Dhamra,Panamax,18.49
2025-11-27,Australia,Dhamra,Panamax,18.45
2025-11-28,Australia,Dhamra,Panamax,18.02
2025-11-29,Australia,Dhamra,Panamax,18.41
2025-11-30,Australia,Dhamra,Panamax,17.63
2025-12-01,Australia,Dhamra,Panamax,18.43
2025-12-02,Australia,Dhamra,Panamax,17.86
2025-12-03,Australia,Dhamra,Panamax,17.79
2025-12-04,Australia,Dhamra,Panamax,18.44
2025-12-05,Australia,Dhamra,Panamax,18.98
2025-12-06,Australia,Dhamra,Panamax,18.2
2025-12-07,Australia,Dhamra,Panamax,17.73
2025-12-08,Australia,Dhamra,Panamax,18.18
2025-12-09,Australia,Dhamra,Panamax,18.28
2025-12-10,Australia,Dhamra,Panamax,18.17
2025-12-11,Australia,Dhamra,Panamax,18.53
2025-12-12,Australia,Dhamra,Panamax,19.06
2025-12-13,Australia,Dhamra,Panamax,17.86
2025-12-14,Australia,Dhamra,Panamax,17.57
2025-12-15,Australia,Dhamra,Panamax,17.79
2025-12-16,Australia,Dhamra,Panamax,18.2
2025-12-17,Australia,Dhamra,Panamax,18.85
2025-12-18,Australia,Dhamra,Panamax,19.89
2025-12-19,Australia,Dhamra,Panamax,19.63
2025-12-20,Australia,Dhamra,Panamax,18.83
2025-12-21,Australia,Dhamra,Panamax,18.59
2025-12-22,Australia,Dhamra,Panamax,17.82
2025-12-23,Australia,Dhamra,Panamax,18.51
2025-12-24,Australia,Dhamra,Panamax,18.69
2025-12-25,Australia,Dhamra,Panamax,19.4
2025-12-26,Australia,Dhamra,Panamax,18.82
2025-12-27,Australia,Dhamra,Panamax,19.44
2025-12-28,Australia,Dhamra,Panamax,19.73
2025-12-29,Australia,Dhamra,Panamax,18.55
2025-12-30,Australia,Dhamra,Panamax,18.97
2025-12-31,Australia,Dhamra,Panamax,19.48
2025-01-01,Australia,Dhamra,Supramax,19.76
2025-01-02,Australia,Dhamra,Supramax,20.48
2025-01-03,Australia,Dhamra,Supramax,20.46
2025-01-04,Australia,Dhamra,Supramax,20.32
2025-01-05,Australia,Dhamra,Supramax,19.48
2025-01-06,Australia,Dhamra,Supramax,19.77
2025-01-07,Australia,Dhamra,Supramax,20.16
2025-01-08,Australia,Dhamra,Supramax,21.07
2025-01-09,Australia,Dhamra,Supramax,21.12
2025-01-10,Australia,Dhamra,Supramax,21.94
2025-01-11,Australia,Dhamra,Supramax,20.0
2025-01-12,Australia,Dhamra,Supramax,20.67
2025-01-13,Australia,Dhamra,Supramax,20.06
2025-01-14,Australia,Dhamra,Supramax,21.37
2025-01-15,Australia,Dhamra,Supramax,19.92
2025-01-16,Australia,Dhamra,Supramax,20.24
2025-01-17,Australia,Dhamra,Supramax,20.49
2025-01-18,Australia,Dhamra,Supramax,19.38
2025-01-19,Australia,Dhamra,Supramax,20.02
2025-01-20,Australia,Dhamra,Supramax,19.69
2025-01-21,Australia,Dhamra,Supramax,20.34
2025-01-22,Australia,Dhamra,Supramax,20.8
2025-01-23,Australia,Dhamra,Supramax,22.06
2025-01-24,Australia,Dhamra,Supramax,21.61
2025-01-25,Australia,Dhamra,Supramax,20.5
2025-01-26,Australia,Dhamra,Supramax,19.99
2025-01-27,Australia,Dhamra,Supramax,20.63
2025-01-28,Australia,Dhamra,Supramax,19.65
2025-01-29,Australia,Dhamra,Supramax,21.88
2025-01-30,Australia,Dhamra,Supramax,21.83
2025-01-31,Australia,Dhamra,Supramax,20.94
2025-02-01,Australia,Dhamra,Supramax,20.0
2025-02-02,Australia,Dhamra,Supramax,21.52
2025-02-03,Australia,Dhamra,Supramax,20.45
2025-02-04,Australia,Dhamra,Supramax,21.36
2025-02-05,Australia,Dhamra,Supramax,20.0
2025-02-06,Australia,Dhamra,Supramax,20.93
2025-02-07,Australia,Dhamra,Supramax,21.4
2025-02-08,Australia,Dhamra,Supramax,21.23
2025-02-09,Australia,Dhamra,Supramax,20.61
2025-02-10,Australia,Dhamra,Supramax,21.06
2025-02-11,Australia,Dhamra,Supramax,20.14
2025-02-12,Australia,Dhamra,Supramax,21.03
2025-02-13,Australia,Dhamra,Supramax,21.53
2025-02-14,Australia,Dhamra,Supramax,21.86
2025-02-15,Australia,Dhamra,Supramax,21.78
2025-02-16,Australia,Dhamra,Supramax,20.36
2025-02-17,Australia,Dhamra,Supramax,19.92
2025-02-18,Australia,Dhamra,Supramax,21.7
2025-02-19,Australia,Dhamra,Supramax,21.47
2025-02-20,Australia,Dhamra,Supramax,21.15
2025-02-21,Australia,Dhamra,Supramax,22.63
2025-02-22,Australia,Dhamra,Supramax,21.57
2025-02-23,Australia,Dhamra,Supramax,21.88
2025-02-24,Australia,Dhamra,Supramax,21.01
2025-02-25,Australia,Dhamra,Supramax,22.31
2025-02-26,Australia,Dhamra,Supramax,22.45
2025-02-27,Australia,Dhamra,Supramax,21.58
2025-02-28,Australia,Dhamra,Supramax,22.41
2025-03-01,Australia,Dhamra,Supramax,22.01
2025-03-02,Australia,Dhamra,Supramax,22.12
2025-03-03,Australia,Dhamra,Supramax,20.52
2025-03-04,Australia,Dhamra,Supramax,21.6
2025-03-05,Australia,Dhamra,Supramax,22.15
2025-03-06,Australia,Dhamra,Supramax,20.79
2025-03-07,Australia,Dhamra,Supramax,21.22
2025-03-08,Australia,Dhamra,Supramax,20.51
2025-03-09,Australia,Dhamra,Supramax,21.24
2025-03-10,Australia,Dhamra,Supramax,21.63
2025-03-11,Australia,Dhamra,Supramax,22.19
2025-03-12,Australia,Dhamra,Supramax,21.66
2025-03-13,Australia,Dhamra,Supramax,22.91
2025-03-14,Australia,Dhamra,Supramax,21.2
2025-03-15,Australia,Dhamra,Supramax,20.8
2025-03-16,Australia,Dhamra,Supramax,21.45
2025-03-17,Australia,Dhamra,Supramax,21.51
2025-03-18,Australia,Dhamra,Supramax,21.34
2025-03-19,Australia,Dhamra,Supramax,20.45
2025-03-20,Australia,Dhamra,Supramax,21.95
2025-03-21,Australia,Dhamra,Supramax,21.31
2025-03-22,Australia,Dhamra,Supramax,22.29
2025-03-23,Australia,Dhamra,Supramax,21.77
2025-03-24,Australia,Dhamra,Supramax,20.77
2025-03-25,Australia,Dhamra,Supramax,21.11
2025-03-26,Australia,Dhamra,Supramax,21.1
2025-03-27,Australia,Dhamra,Supramax,22.02
2025-03-28,Australia,Dhamra,Supramax,22.71
2025-03-29,Australia,Dhamra,Supramax,21.34
2025-03-30,Australia,Dhamra,Supramax,21.89
2025-03-31,Australia,Dhamra,Supramax,21.06
2025-04-01,Australia,Dhamra,Supramax,20.98
2025-04-02,Australia,Dhamra,Supramax,21.71
2025-04-03,Australia,Dhamra,Supramax,21.47
2025-04-04,Australia,Dhamra,Supramax,21.84
2025-04-05,Australia,Dhamra,Supramax,21.24
2025-04-06,Australia,Dhamra,Supramax,22.79
2025-04-07,Australia,Dhamra,Supramax,21.41
2025-04-08,Australia,Dhamra,Supramax,21.05
2025-04-09,Australia,Dhamra,Supramax,21.91
2025-04-10,Australia,Dhamra,Supramax,22.03
2025-04-11,Australia,Dhamra,Supramax,22.04
2025-04-12,Australia,Dhamra,Supramax,22.32
2025-04-13,Australia,Dhamra,Supramax,22.06
2025-04-14,Australia,Dhamra,Supramax,21.07
2025-04-15,Australia,Dhamra,Supramax,21.12
2025-04-16,Australia,Dhamra,Supramax,21.61
2025-04-17,Australia,Dhamra,Supramax,20.7
2025-04-18,Australia,Dhamra,Supramax,21.25
2025-04-19,Australia,Dhamra,Supramax,22.76
2025-04-20,Australia,Dhamra,Supramax,22.57
2025-04-21,Australia,Dhamra,Supramax,21.21
2025-04-22,Australia,Dhamra,Supramax,21.78
2025-04-23,Australia,Dhamra,Supramax,21.93
2025-04-24,Australia,Dhamra,Supramax,23.9
2025-04-25,Australia,Dhamra,Supramax,22.79
2025-04-26,Australia,Dhamra,Supramax,21.82
2025-04-27,Australia,Dhamra,Supramax,20.97
2025-04-28,Australia,Dhamra,Supramax,20.35
2025-04-29,Australia,Dhamra,Supramax,21.51
2025-04-30,Australia,Dhamra,Supramax,21.24
2025-05-01,Australia,Dhamra,Supramax,21.14
2025-05-02,Australia,Dhamra,Supramax,21.67
2025-05-03,Australia,Dhamra,Supramax,21.19
2025-05-04,Australia,Dhamra,Supramax,22.49
2025-05-05,Australia,Dhamra,Supramax,21.78
2025-05-06,Australia,Dhamra,Supramax,21.31
2025-05-07,Australia,Dhamra,Supramax,22.51
2025-05-08,Australia,Dhamra,Supramax,21.96
2025-05-09,Australia,Dhamra,Supramax,21.47
2025-05-10,Australia,Dhamra,Supramax,22.67
2025-05-11,Australia,Dhamra,Supramax,21.72
2025-05-12,Australia,Dhamra,Supramax,20.54
2025-05-13,Australia,Dhamra,Supramax,21.11
2025-05-14,Australia,Dhamra,Supramax,21.0
2025-05-15,Australia,Dhamra,Supramax,21.0
2025-05-16,Australia,Dhamra,Supramax,22.45
2025-05-17,Australia,Dhamra,Supramax,22.8
2025-05-18,Australia,Dhamra,Supramax,20.46
2025-05-19,Australia,Dhamra,Supramax,21.4
2025-05-20,Australia,Dhamra,Supramax,20.74
2025-05-21,Australia,Dhamra,Supramax,21.13
2025-05-22,Australia,Dhamra,Supramax,21.36
2025-05-23,Australia,Dhamra,Supramax,21.26
2025-05-24,Australia,Dhamra,Supramax,21.57
2025-05-25,Australia,Dhamra,Supramax,20.68
2025-05-26,Australia,Dhamra,Supramax,21.11
2025-05-27,Australia,Dhamra,Supramax,20.98
2025-05-28,Australia,Dhamra,Supramax,21.16
2025-05-29,Australia,Dhamra,Supramax,21.05
2025-05-30,Australia,Dhamra,Supramax,21.31
2025-05-31,Australia,Dhamra,Supramax,21.87
2025-06-01,Australia,Dhamra,Supramax,21.35
2025-06-02,Australia,Dhamra,Supramax,20.23
2025-06-03,Australia,Dhamra,Supramax,20.94
2025-06-04,Australia,Dhamra,Supramax,21.62
2025-06-05,Australia,Dhamra,Supramax,20.46
2025-06-06,Australia,Dhamra,Supramax,21.84
2025-06-07,Australia,Dhamra,Supramax,20.88
2025-06-08,Australia,Dhamra,Supramax,21.26
2025-06-09,Australia,Dhamra,Supramax,20.22
2025-06-10,Australia,Dhamra,Supramax,19.65
2025-06-11,Australia,Dhamra,Supramax,20.05
2025-06-12,Australia,Dhamra,Supramax,21.35
2025-06-13,Australia,Dhamra,Supramax,21.53
2025-06-14,Australia,Dhamra,Supramax,20.59
2025-06-15,Australia,Dhamra,Supramax,21.15
2025-06-16,Australia,Dhamra,Supramax,19.53
2025-06-17,Australia,Dhamra,Supramax,20.54
2025-06-18,Australia,Dhamra,Supramax,20.15
2025-06-19,Australia,Dhamra,Supramax,20.77
2025-06-20,Australia,Dhamra,Supramax,21.25
