origin,destination,vessel_class,current_rate
Russia,Sagar-Sandheads,Handysize,33.0
Russia,Haldia,Handysize,34.0
USA,Paradip,Capesize,30.77
USA,Paradip,Panamax,34.98
USA,Paradip,Supramax,35.08
USA,Visakhapatnam,Capesize,30.64
USA,Visakhapatnam,Panamax,31.47
USA,Visakhapatnam,Supramax,35.37
USA,Gangavaram,Capesize,27.31
USA,Gangavaram,Panamax,30.54
USA,Gangavaram,Supramax,31.67
USA,Gopalpur,Capesize,31.13
USA,Gopalpur,Panamax,33.69
USA,Gopalpur,Supramax,35.67
USA,Sagar-Sandheads,Capesize,34.11
USA,Sagar-Sandheads,Panamax,35.55
USA,Sagar-Sandheads,Supramax,39.17
USA,Haldia,Capesize,35.0
USA,Haldia,Panamax,35.79
USA,Haldia,Supramax,39.24
Mozambique,Paradip,Capesize,24.08
Mozambique,Paradip,Panamax,25.75
Mozambique,Paradip,Supramax,27.03
Mozambique,Visakhapatnam,Capesize,23.28
Mozambique,Visakhapatnam,Panamax,24.19
Mozambique,Visakhapatnam,Supramax,27.26
Mozambique,Gangavaram,Capesize,20.31
Mozambique,Gangavaram,Panamax,23.2
Mozambique,Gangavaram,Supramax,23.71
Mozambique,Gopalpur,Capesize,23.61
Mozambique,Gopalpur,Panamax,25.93
Mozambique,Gopalpur,Supramax,26.95
Mozambique,Sagar-Sandheads,Capesize,26.4
Mozambique,Sagar-Sandheads,Panamax,27.58
Mozambique,Sagar-Sandheads,Supramax,28.76
Mozambique,Haldia,Capesize,25.39
Mozambique,Haldia,Panamax,28.5
Mozambique,Haldia,Supramax,29.44
Russia,Paradip,Capesize,27.26
Russia,Paradip,Panamax,29.72
Russia,Paradip,Supramax,31.58
Russia,Visakhapatnam,Capesize,26.19
Russia,Visakhapatnam,Panamax,28.36
Russia,Visakhapatnam,Supramax,30.15
Russia,Gangavaram,Capesize,24.03
Russia,Gangavaram,Panamax,25.84
Russia,Gangavaram,Supramax,28.42
Russia,Gopalpur,Capesize,25.71
Russia,Gopalpur,Panamax,28.25
Russia,Gopalpur,Supramax,31.25
Russia,Sagar-Sandheads,Capesize,30.28
Russia,Sagar-Sandheads,Panamax,32.47
Russia,Sagar-Sandheads,Supramax,33.56
Russia,Haldia,Capesize,29.99
Russia,Haldia,Panamax,32.55
Russia,Haldia,Supramax,33.07
Indonesia,Paradip,Capesize,17.35
Indonesia,Paradip,Panamax,18.14
Indonesia,Paradip,Supramax,19.37
Indonesia,Visakhapatnam,Capesize,15.8
Indonesia,Visakhapatnam,Panamax,17.12
Indonesia,Visakhapatnam,Supramax,18.12
Indonesia,Gangavaram,Capesize,14.38
Indonesia,Gangavaram,Panamax,15.78
Indonesia,Gangavaram,Supramax,17.39
Indonesia,Gopalpur,Capesize,16.97
Indonesia,Gopalpur,Panamax,16.85
Indonesia,Gopalpur,Supramax,19.72
Indonesia,Sagar-Sandheads,Capesize,18.08
Indonesia,Sagar-Sandheads,Panamax,18.53
Indonesia,Sagar-Sandheads,Supramax,19.41
Indonesia,Haldia,Capesize,18.1
Indonesia,Haldia,Panamax,20.2
Indonesia,Haldia,Supramax,20.67
